title,genre,actors,view rating,release date,summary,score,votes,
Lets Fight Ghost,"Crime, Drama, Fantasy, Horror, Romance","Kåre Hedebrant, Per Ragnar, Lina Leandersson, Henrik Dahl",R,12 Dec 2008,"A med student with a supernatural gift tries to cash in on his abilities by facing off against ghosts, till a wandering spirit brings romance instead.",7.9,205926,
HOW TO BUILD A GIRL,Comedy,"Paddy Considine, Cleo, Beanie Feldstein, Dónal Finn",R,08 May 2020,"When nerdy Johanna moves to London, things get out of hand when she reinvents herself as a bad-mouthed music critic to save her poverty-stricken family.",5.8,2838,
Centigrade,"Drama, Thriller","Genesis Rodriguez, Vincent Piazza",Unrated,28 Aug 2020,"Trapped in a frozen car during a blizzard, a pregnant woman and her husband fight to survive while the temperatures plummet. Inspired by a true story.",4.3,1720,
ANNE+,Drama,"Vahide Perçin, Gonca Vuslateri, Cansu Dere, Beren Gokyildiz",,01 Oct 2016,"Upon moving into a new place, a 20-something runs into a former flame that triggers memories of past relationships since their split four years ago.",6.5,1147,
Moxie,"Animation, Short, Drama",Ragga Gudrun,,22 Sep 2011,"Inspired by her moms rebellious past and a confident new friend, a shy 16-year-old publishes an anonymous zine calling out sexism at her school.",6.3,63,
The Con-Heartist,"Comedy, Romance","Thiti Mahayotaruk, Nadech Kugimiya, Kathaleeya McIntosh, Pimchanok Leuwisetpaiboon",,03 Dec 2020,"After her ex-boyfriend cons her out of a large sum of money, a former bank employee tricks a scam artist into helping her swindle him in retaliation.",7.4,131,
Gleboka woda,Drama,"Marcin Dorocinski, Piotr Nowak, Julia Kijowska, Katarzyna Maciag",,14 Jun 2011,A group of social welfare workers led by their new director tries to provide necessary aid to people struggling with various problems.,7.5,47,
Instynkt,Crime,"Pawel Królikowski, Szymon Bobrowski, Danuta Stenka, Piotr Glowacki",,03 Mar 2011,"An enigmatic commissioner joins the Warsaw Police, where her unconventional investigation methods unsettle the officers in the homicide department.",3.9,107,
Only a Mother,Drama,"Ulf Palme, Ragnar Falck, Hugo Björne, Eva Dahlbeck",,31 Oct 1949,An unhappily married farm worker struggling to care for her children reflects on her lost youth and the scandalous moment that cost her true love.,6.7,88,
Snowroller,Comedy,"Jon Skolmen, Cecilia Walton, Lasse Åberg, Eva Millberg",,04 Oct 1985,"Two friends take a ski trip to the Alps, where they enjoy the outdoors and try to charm two women also on vacation.",6.6,5926,
Sunes Summer,"Comedy, Family, Fantasy","Elis Gerdt, Tea Stjärne, Fredrik Hallgren, Baxter Renman",,30 Nov 2018,A family camping trip goes awry for a boy and his accident-prone relatives in this comedy based on the book series by Anders Jacobsson and Sören Olsson.,5.5,560,
The Invisible,"Crime, Drama, Fantasy, Mystery, Thriller","Marcia Gay Harden, Chris Marquette, Margarita Levieva, Justin Chatwin",PG-13,27 Apr 2007,"Critically injured after a brutal beating, a teenager and aspiring poet finds himself suspended between life and death and invisible to others.",6.2,34738,
The Simple Minded Murderer,Drama,"Stellan Skarsgård, Hans Alfredson, Per Myrberg, Maria Johansson",,01 Sep 1985,"A good-natured farmhand, perpetually terrorized by his cruel boss for his disability, finds love and acceptance when a poor family takes him in.",7.6,2870,
The Stig-Helmer Story,"Comedy, Drama","Jon Skolmen, Ida Högberg, Lasse Åberg, Tobias Jacobsson",,25 Dec 2011,Popular character Stig-Helmer Olsson recounts his life as he reminisces on his youth and trying to track down his first love.,4.5,1666,
To Kill a Child,"Short, Drama","Manolo Solo, Roger Príncep, Cristina Marcos, Roger Álvarez",,07 Feb 2011,A car accident involving a young child takes a devastating toll in this 9-minute film based on the 1948 short story by writer Stig Dagerman.,7.7,78,
Joker,"Crime, Drama, Thriller","Joaquin Phoenix, Zazie Beetz, Robert De Niro, Frances Conroy",R,04 Oct 2019,"A practical jokers fake kidnapping at a bachelor party turns into a real abduction, forcing him to infiltrate a terrorist group and rescue the groom.",8.4,951938,
I,"Action, Adventure, Fantasy, Sci-Fi","Liam Neeson, Ewan McGregor, Natalie Portman, Jake Lloyd",PG,19 May 1999,A young man seeking his identity begins a romance that becomes a complicated marriage in this avant-garde drama from filmmaker Peter Kylberg.,6.5,733336,
Harrys Daughters,"Adventure, Drama, Fantasy, Mystery","Ralph Fiennes, Alan Rickman, Michael Gambon, Daniel Radcliffe",PG-13,15 Jul 2011,"As two sisters both experience pregnancy, tragedy rattles their bond by bringing secrets, jealousy and sorrow to the forefront of their relationship.",8.1,766594,
Gyllene Tider,Music,"Micke Andersson, Anders Herrlin, Göran Fritzson, Per Gessle",,,This music documentary offers backstage interviews and concert footage of the Swedish pop group at the peak of their popularity in the early 80s.,7.7,19,
False As Water,"Drama, Thriller","Marie Göranzon, Stellan Skarsgård, Sverre Anker Ousdal, Malin Ek",,08 Nov 1985,The illicit romance between a married publisher and a poet turns fraught when strange happenings in her apartment push her mental health to the brink.,6.3,546,
Bang!,Short,,,,A lonely teacher muddles through a midlife crisis as he navigates romantic relationships and tries his hand at composing experimental music.,5.6,197,
A Guest Is Coming,Thriller,"Karl-Arne Holmsten, Sture Lagerwall, Naima Wifstrand, Erik 'Bullen' Berglund",,03 Nov 1947,A sleuthing writer investigates the strange murder of an old man who decided to sell his manor against his family’s wishes.,5.4,46,
1939,Drama,"Helene Egelund, Ingvar Hirdwall, Per Morberg, Helena Bergström",,25 Dec 1989,"A young woman in neutral Sweden during World War II moves to Stockholm, where she marries a man who turns out to be different than what she imagined.",5.5,364,
Girls und Panzer das Finale,"Animation, Action, Comedy","Mami Ozaki, Ikumi Nakagami, Mai Fuchigami, Ai Kayano",,09 Dec 2017,"The girls on Oarai’s tankery team look forward to finishing out the school year in peace, but before they know it, theyre back on the battlefield.",7.3,210,
Indoo Ki Jawani,"Comedy, Drama","Rakesh Bedi, Aditya Seal, Kiara Advani, Iqbal Khan",,11 Dec 2020,"A spirited but naive young woman seeks a one-night stand, but after discovering her date’s real identity, things quickly go from casual to complicated.",1.4,3505,
The Coroner,"Crime, Drama","Beatie Edney, Claire Goose, Oliver Gomm, Matt Bardock",TV-14,16 Nov 2015,"Months after a personal tragedy, a doctor takes a job as a coroner and investigates a series of suspicious deaths in Toronto.",7,1328,
Brave New World,"Drama, Sci-Fi","Nina Sosanya, Harry Lloyd, Jessica Brown Findlay, Alden Ehrenreich",TV-MA,15 Jul 2020,"When a rebellious stranger arrives from another land, the residents of New London begin to question the rules of their seemingly utopian society.",7.1,9408,
Comrades: Almost a Love Story,"Drama, Romance","Maggie Cheung, Leon Lai, Eric Tsang, Kristy Yeung",,02 Nov 1996,Two young Chinese mainlanders transplanted to Hong Kong -- naive Xiao-Jun Li and street-smart Qiao Li -- become fast friends and then try not to fall in love despite their deepening feelings for each other.,8.1,5047,
The Closet,Comedy,"Gérard Depardieu, Michèle Laroque, Daniel Auteuil, Thierry Lhermitte",R,10 Aug 2001,A recent widowers move into a new house takes a chilling turn when his daughter vanishes — and only a mysterious exorcist seems to have answers.,7,16657,
